,To Date, HAQI,Battery (%),R. Humidity (%),PM2.5,PM10,Rain (mm),Temperature,Wind Direction (degree),Wind Speed (m/s)
1,03/06/21 14:00, 80,100,41.96,47.51,53.9,0,39.72,237,6.99
2,03/06/21 13:00, 83,100,42.86,49.54,56.51,0,38.94,230,7.33
3,03/06/21 12:00, 81,100,44.28,48.63,56.3,0,40.02,216,2.85
4,03/06/21 11:00, 84,100,43.91,50.39,58.49,0,40.16,204,1.98
5,03/06/21 10:00, 80,100,47.67,47.48,54.24,0,38.81,173,1.2
6,03/06/21 09:00, 81,100,71.6,48.29,56.17,0,33.15,136,1.33
7,03/06/21 08:00, 83,100,91.91,49.88,59.89,0,29.16,136,1.33
8,03/06/21 07:00, 83,100,98.97,49.72,57.89,0,28.1,112,1.35
9,03/06/21 06:00, 92,100,100,55.29,66,0,27.73,192,0.74
10,03/06/21 05:00, 91,100,100,54.5,65.23,0,27.54,102,1.13
11,03/06/21 04:00, 87,100,100,51.86,62.8,0,27.88,101,1.51
12,03/06/21 03:00, 84,100,97.47,50.5,60.24,0,28.49,89,1.56
13,03/06/21 02:00, 83,100,88.06,49.61,58.96,0,28.88,119,1.18
14,03/06/21 01:00, 92,100,89.82,54.89,66.32,0,28.79,119,1.18
15,03/06/21 00:00, 89,100,89.38,53.41,66.02,0,28.82,182,1.06
16,02/06/21 23:00, 97,100,86.49,58,75.22,0,29.28,24,3.45
17,02/06/21 22:00, 84,100,81.74,50.44,62.84,0,29.34,58,1.19
18,02/06/21 21:00, 79,100,82.66,47.23,56.67,0,29.57,274,1.38
19,02/06/21 20:00, 76,100,75.28,45.22,53.83,0,30.94,276,1.92
20,02/06/21 19:00, 75,100,68.33,44.5,52.3,0,33.09,268,3.35
21,02/06/21 18:00, 73,100,62.81,43.5,49.37,0,35.86,268,3.35
22,02/06/21 17:00, 72,100,62.26,42.89,47.61,0,36.28,246,4.15
23,02/06/21 16:00, 72,100,66.22,42.8,48.12,0,35.64,247,4.99
24,02/06/21 15:00, 75,100,71.26,45,51.04,0,34.41,261,3.96
25,02/06/21 14:00, 79,100,63.99,47.37,55.25,0,36.32,251,3.79
26,02/06/21 13:00, 79,100,71.55,46.98,54.46,0,35.03,242,3.05
27,02/06/21 12:00, 80,100,80.81,47.91,57.23,0,33.64,231,2.8
28,02/06/21 11:00, 84,100,81.8,50.1,61.41,0,33.31,231,2.8
29,02/06/21 10:00, 99,100,84.3,59.13,77.95,0,32.63,213,2.47
30,02/06/21 09:00, 118,100,92.16,65.01,83.5,0,31.9,205,2.1
31,02/06/21 08:00, 131,100,100,69.2,97.31,0,29.06,210,1.04
32,02/06/21 07:00, 170,100,100,80.92,132.15,0,27.21,205,0.83
33,02/06/21 06:00, 178,100,100,83.38,143.54,0,26.95,144,0.63
34,02/06/21 05:00, 205,100,100,91.28,153.07,0,26.82,110,0.63
35,02/06/21 04:00, 182,100,100,84.57,144.45,0,26.73,110,0.63
36,02/06/21 03:00, 190,100,100,86.98,146.29,0,26.69,158,0.94
37,02/06/21 02:00, 197,100,100,89,147.29,0,26.54,188,1.25
38,02/06/21 01:00, 151,100,100,75.02,111.34,0,26.57,218,2.05
39,02/06/21 00:00, 139,100,100,71.38,103.84,0,26.53,230,2.54
40,01/06/21 23:00, 133,100,100,69.7,95.25,0,26.5,228,2.58
41,01/06/21 22:00, 107,100,100,61.69,75.49,0,26.87,235,2.83
42,01/06/21 21:00, 78,100,100,46.27,51.41,0,27.18,235,2.83
43,01/06/21 20:00, 73,100,94.88,43.68,51.04,0,28.79,248,3.37
44,01/06/21 19:00, 75,100,99.39,44.98,57.18,0,30.67,245,4.04
45,01/06/21 18:00, 74,100,80.65,44.36,55.08,0,33.1,239,5.31
46,01/06/21 17:00, 73,100,60.47,43.64,52.15,0,36.11,238,5.01
47,01/06/21 16:00, 73,100,59.7,43.48,51.75,0,35.53,239,4.57
48,01/06/21 15:00, 74,100,54.99,44.25,52.22,0,37.78,242,4.4
49,01/06/21 14:00, 74,100,49.28,43.99,51.83,0,38.7,242,4.4
50,01/06/21 13:00, 74,100,48.23,44.15,52.25,0,38.95,245,4.28
51,01/06/21 12:00, 76,100,49.27,45.36,55.13,0,38.63,245,3.16
52,01/06/21 11:00, 76,100,55.01,45.38,56.53,0,37.77,231,2.97
53,01/06/21 10:00, 77,100,68.81,45.88,57.78,0,35.39,190,1.86
54,01/06/21 09:00, 79,100,86.65,47.28,60.54,0,31.81,172,1.85
55,01/06/21 08:00, 92,100,96.15,55.22,75.58,0,30.43,170,1.76
56,01/06/21 07:00, 84,100,100,50.51,65.82,0,29.48,162,1.53
57,01/06/21 06:00, 83,100,100,49.81,65.26,0,29.33,162,1.53
58,01/06/21 05:00, 83,100,100,49.33,64.74,0,29.37,164,1.3
59,01/06/21 04:00, 82,100,100,48.75,64.07,0,29.34,153,0.86
60,01/06/21 03:00, 83,100,100,49.34,65.8,0,29.41,181,1.75
61,01/06/21 02:00, 83,100,99.78,49.71,66.63,0,29.61,177,1.92
62,01/06/21 01:00, 87,100,99.73,51.93,72.56,0,29.68,198,2.02
63,01/06/21 00:00, 97,100,98.67,58.02,84.95,0,29.95,204,2.31
64,31/05/21 23:00, 91,100,95.12,54.4,77.42,0,30.17,204,2.31
65,31/05/21 22:00, 91,100,94.04,54.48,76.31,0,30.35,164,1.87
66,31/05/21 21:00, 89,100,91.94,53.28,74.92,0,30.54,146,2.69
67,31/05/21 20:00, 87,100,92.22,52.19,73.84,0,30.7,183,3.01
68,31/05/21 19:00, 82,100,91.9,48.97,67.88,0,31.32,186,3.47
69,31/05/21 18:00, 83,100,88.69,49.58,71.3,0,32.05,228,2.28
70,31/05/21 17:00, 83,100,97.81,49.87,72.13,0,30.72,255,5.42
71,31/05/21 16:00, 79,100,86.73,46.87,59.99,0,30.68,255,5.42
72,31/05/21 15:00, 79,100,76.88,46.9,62.66,0,33.22,253,5.58
73,31/05/21 14:00, 76,100,64.82,45.11,55.27,0,35.23,253,6.99
74,31/05/21 13:00, 75,100,68.63,44.57,52.51,0,34.11,245,5.37
75,31/05/21 12:00, 76,100,61.06,45.07,56.31,0,36.8,238,4.69
76,31/05/21 11:00, 79,100,66.53,46.87,63.27,0,35.76,226,3.58
77,31/05/21 10:00, 85,100,84.46,51.04,71.4,0,32.48,213,3.65
78,31/05/21 09:00, 87,100,87.84,52.11,71.32,0,31.74,213,3.65
79,31/05/21 08:00, 159,100,98.19,77.51,112.6,0,29.25,201,3.1
80,31/05/21 07:00, 135,100,100,70.36,96.61,0,27.39,194,2.61
81,31/05/21 06:00, 108,100,100,62.06,78.51,0,27.27,194,2.01
82,31/05/21 05:00, 99,100,100,59.35,73.87,0,27.61,209,1.86
83,31/05/21 04:00, 162,100,100,78.57,117.87,0,27.16,217,1.78
84,31/05/21 03:00, 134,100,100,69.94,95.25,0,27.32,217,2.59
85,31/05/21 02:00, 118,100,99.5,65.24,82.94,0,27.82,217,2.59
86,31/05/21 01:00, 120,100,99.91,65.67,86.57,0,28.09,225,2.96
87,31/05/21 00:00, 98,100,100,59.01,74.03,0,27.7,221,3.52
88,30/05/21 23:00, 86,100,100,51.59,61.73,0,27.48,234,2.09
89,30/05/21 22:00, 82,100,97.66,49.25,58.66,0,27.75,246,3.15
90,30/05/21 21:00, 81,100,74.2,48.28,67.51,0,32.04,235,3.89
91,30/05/21 20:00, 79,100,70.91,46.98,64.99,0,32.68,257,3.66
92,30/05/21 19:00, 79,100,66.42,46.98,65.34,0,33.89,257,3.66
93,30/05/21 18:00, 79,100,59.11,47.08,63.56,0,35.68,255,3.89
94,30/05/21 17:00, 81,100,55.76,48.13,65.23,0,36.48,236,5.72
95,30/05/21 16:00, 78,100,51.06,46.68,62.33,0,37.69,255,6.65
