,To Date, HAQI,Battery (%),R. Humidity (%),PM2.5,PM10,Temperature,Wind Direction (degree),Wind Speed (m/s)
1,03/06/21 14:00, 37,100,54.47,17.5,37.32,38.91,240,7.2
2,03/06/21 13:00, 37,100,53.93,17.46,37.06,39.26,240,3.6
3,03/06/21 12:00, 36,100,54.07,16.9,35.55,38.65,240,3.6
4,03/06/21 11:00, 36,100,57.84,17.09,36.16,37.34,220,3.09
5,03/06/21 10:00, 39,100,64.58,17.98,38.97,35.4,200,2.06
6,03/06/21 09:00, 42,100,77.98,19.39,42.19,33.04,-,1.54
7,03/06/21 08:00, 51,100,99.9,22.11,50.22,28.95,140,1.54
8,03/06/21 07:00, 48,100,100,21.84,48.21,27.91,140,1.54
9,03/06/21 06:00, 43,100,100,19.57,43.31,27.66,-,-
10,03/06/21 05:00, 39,100,100,17.58,38.89,27.66,-,-
11,03/06/21 04:00, 36,100,100,16.76,36.27,27.79,60,2.06
12,03/06/21 03:00, 39,100,100,17.07,38.81,27.77,80,1.54
13,03/06/21 02:00, 43,100,100,19.09,43.05,28.22,80,1.54
14,03/06/21 01:00, 40,100,100,18.17,40.34,28.41,110,2.57
15,03/06/21 00:00, 42,100,100,18.39,42.42,28.59,100,2.57
16,02/06/21 23:00, 42,100,100,18.16,42.27,28.54,-,-
17,02/06/21 22:00, 39,100,100,16.95,38.52,28.55,110,2.57
18,02/06/21 21:00, 40,100,100,17.61,40.08,29.11,110,2.57
19,02/06/21 20:00, 37,100,99.71,16.95,37.42,31.36,120,2.06
20,02/06/21 19:00, 35,100,86.65,16,35.48,34.22,110,2.57
21,02/06/21 18:00, 35,100,69.52,16.04,34.51,37.1,270,4.12
22,02/06/21 17:00, 35,100,68.99,16.07,34.61,37.58,270,3.6
23,02/06/21 16:00, 37,100,88.39,16.31,36.97,34.88,270,3.6
24,02/06/21 15:00, 35,100,96.41,16.16,35.45,33.48,280,5.14
25,02/06/21 14:00, 35,100,87.74,16.12,35.34,34.84,250,4.12
26,02/06/21 13:00, 35,100,86.03,16.02,34.55,35.45,230,3.6
27,02/06/21 12:00, 36,100,99.99,16.48,36.17,31.69,220,3.09
28,02/06/21 11:00, 43,100,100,19.11,42.57,31.56,200,1.03
29,02/06/21 10:00, 45,100,100,20.8,45.46,31.52,200,1.03
30,02/06/21 09:00, 58,100,100,25.79,57.23,31.04,220,3.6
31,02/06/21 08:00, 64,100,100,28.35,63.25,28.55,-,-
32,02/06/21 07:00, 67,100,100,30.76,66.76,27.06,70,2.06
33,02/06/21 06:00, 66,100,100,29.29,64.89,26.81,-,-
34,02/06/21 05:00, 69,100,100,30.88,68.27,26.82,-,-
35,02/06/21 04:00, 75,100,100,32.62,74.55,26.71,-,-
36,02/06/21 03:00, 67,100,100,30.31,66.27,26.77,90,2.06
37,02/06/21 02:00, 60,100,100,27.66,59.22,26.84,110,2.06
38,02/06/21 01:00, 57,100,100,26.53,56.5,26.73,80,2.06
39,02/06/21 00:00, 49,100,100,23.45,49.15,26.6,80,2.06
40,01/06/21 23:00, 47,100,100,22.41,46.98,26.58,-,-
41,01/06/21 22:00, 49,100,100,22.6,49.25,26.64,50,2.06
42,01/06/21 21:00, 43,100,99.81,18.7,43.15,28.21,100,4.12
43,01/06/21 20:00, 41,100,97.48,17.45,41.42,31.14,180,3.6
44,01/06/21 19:00, 44,100,92.24,18.16,43.81,33.2,180,3.6
45,01/06/21 18:00, 44,100,79.67,18.4,44.17,35.46,200,5.14
46,01/06/21 17:00, 41,100,69.23,17.02,40.83,37.15,240,6.17
47,01/06/21 16:00, 40,100,61.39,16.93,40.09,38.78,230,6.17
48,01/06/21 15:00, 38,100,59.92,16.56,37.73,39.14,220,4.63
49,01/06/21 14:00, 39,100,61.7,16.82,38.77,38.76,220,4.63
50,01/06/21 13:00, 38,100,65.27,16.87,38.2,38.25,230,6.17
51,01/06/21 12:00, 39,100,64.33,16.91,38.78,38.06,220,3.6
52,01/06/21 11:00, 41,100,81.08,17.44,40.86,35.61,210,2.57
53,01/06/21 10:00, 45,100,95.2,18.74,44.6,33.22,210,2.57
54,01/06/21 09:00, 52,100,99.22,21.08,51.04,32.32,210,2.57
55,01/06/21 08:00, 55,100,100,21.2,53.7,30.06,130,1.54
56,01/06/21 07:00, 56,100,100,21.63,54.89,28.67,110,1.54
57,01/06/21 06:00, 49,100,100,19.72,49.4,28.45,110,1.54
58,01/06/21 05:00, 54,100,100,20.54,52.59,28.65,120,1.54
59,01/06/21 04:00, 52,100,100,19.93,50.85,28.94,120,1.54
60,01/06/21 03:00, 52,100,100,20.24,51.23,28.8,100,2.06
61,01/06/21 02:00, 54,100,100,20.87,53.53,28.92,150,2.06
62,01/06/21 01:00, 57,100,100,21.92,56.42,29.08,-,-
63,01/06/21 00:00, 62,100,100,23.86,61.7,29.32,110,2.06
64,31/05/21 23:00, 58,100,100,22.49,56.83,29.81,110,2.06
